ID_BAT,CODE_COM,NOM_COM,NOM_EPCI,NOM_BATI,ADRESSE,X,Y,SURFACE,RENOVATION,TYPE,ANNEE,Consommation en électricité,Consommation en gaz naturel,Consommation en gaz citerne,Consommation en fioul,Consommation en chaleur,Consommation en bois,Consommation en ENR,Dépense en électricité,Dépense en gaz naturel,Dépense en gaz citerne,Dépense en fioul,Dépense en chaleur,Dépense en bois,Dépense en ENR
2,35001,Acigné,Rennes Métropole,La Passerelle,Avenue Abbé Barbedet,-1.5374075547683625,48.13471444939851,6670,Non,Scolaire,2021,312450,648575,,,,,,52325,35958,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2006,89257,216634,,,,,,8777,10674,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2007,94900,262629,,,,,,9407,11811,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2008,97174,225076,,,,,,9614,11237,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2009,93624,209970,,,,,,9827,12360,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2010,98527,216804,,,,,,10095,11998,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2011,97296,206821,,,,,,11097,12259,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2012,94358,218224,,,,,,10873,13901,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2013,90478,224430,,,,,,11032,18075,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2014,93270,189408,,,,,,11663,10699,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2015,62575,187848,,,,,,8188,10818,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2016,,,,,,,,,,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2017,,,,,,,,,,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2018,,,,,,,,,,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2019,,,,,,,,,,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2020,,,,,,,,,,,,,,
3,35001,Acigné,Rennes Métropole,MAPA,Impasse des 4 saisons,-1.5394502252056679,48.13239015625861,1550,Non,Sanitaire,2021,,,,,,,,,,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2006,67002,184045,,,,,,7616,8918,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2007,67802,97495,,,,,,7784,5000,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2008,72768,115489,,,,,,7953,6315,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2009,71037,112229,,,,,,8704,6760,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2010,63929,141689,,,,,,8141,7935,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2011,60827,139815,,,,,,8520,9159,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2012,58424,209293,,,,,,8597,14668,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2013,61866,177790,,,,,,9347,15160,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2014,62294,153544,,,,,,9943,9581,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2015,62616,148116,,,,,,9818,9633,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2016,60285,175621,,,,,,9066,11000,,,,,
