ID_BAT;CODE_INSEE;CODE_POSTALE;NOM_COM;NOM_BATI;ADRESSE;X;Y;SURFACE;RENOVATION;TYPE
3504709;35047;35170;BRUZ;Halle 2;13 Pl. du Vert Buisson;48.0294631719327; -1.757439473913185;940;Bâtiment < 20 ans ;Socio-culturel 
3504710;35047;35170;BRUZ;Halle Pagnol;9 Pl. Marcel Pagnol;48.02457073957145; -1.745109297365393;800;Bâtiment < 20 ans ;Socio-culturel 
3504711;35047;35170;BRUZ;Salle de Sport Colette Besson;rue du Lycée;48.033265688926136; -1.7364977530175572;1975;Bâtiment < 20 ans ;Sportif 
3504712;35047;35170;BRUZ;"Site ""Stade Belliard""";Rue Pierre de Coubertin;48.030587983007564; -1.7421893633844772;10902;Bâtiment à rénover ;Sportif 
3504713;35047;35170;BRUZ;Salle d'activités du Vert Buisson;Av. de Cezembre;48.02956630843984; -1.754785407373154;654;Bâtiment < 20 ans ;Sportif 
3504714;35047;35170;BRUZ;Centre Culturel du Grand Logis;10 Av. du Général de Gaulle;48.023104829598196; -1.744813779926449;4505;Bâtiment à rénover ;Socio-culturel 
3504715;35047;35170;BRUZ;Services Techniques (ancien bâtiment);Le Grand Pâtis;48.01803831406547; -1.7434771066074424;2100;Bâtiment à rénover ;Autre 
3504716;35047;35170;BRUZ;Services Techniques (nouveau bâtiment);16 rue de l'Éperon Doré;48.04010106617682; -1.7406737905202714;1404;Bâtiment rénové;Technique
3504717;35047;35170;BRUZ;Cuisine Centrale;rue de l'Éperon Doré;48.037879959301776; -1.7421599864198754;650;Bâtiment à rénover ;Restauration 
3504718;35047;35170;BRUZ;Logements;;48.024470986100226; -1.7471175013989504;1003;Bâtiment à rénover ;Résidentiel 
3504719;35047;35170;BRUZ;Eglise;Pl. du Chanoine Roullin;48.02408225659669; -1.7483496017240914;1111;Bâtiment à rénover ;Cultuel 
3505501;35055;35135;Chantepie;Groupe scolaire des Deux Ruisseaux;Av. des Meliettes;48.085016252003; -1.6185123545248572;2260;Bâtiment à rénover ;Scolaire – enfance 
3505502;35055;35135;Chantepie;Groupe scolaire des Landes;11 Rue des Landes;48.08987072803238; -1.6201639693370151;3793;Bâtiment < 20 ans ;Scolaire – enfance 
3505503;35055;35135;Chantepie;Maison pour Tous;86 Av. André Bonnin;48.086827700525674; -1.6165401926933316;1250;Bâtiment à rénover ;Socio-culturel 
3505504;35055;35135;Chantepie;Centre technique;rue René Cassin;48.09285560758765; -1.6238220627233728;1789;Bâtiment à rénover ;Technique
3505505;35055;35135;Chantepie;Ecole de Musique &  Danse;25 Av. André Bonnin;48.09021177051136; -1.6226548169907455;1074;Bâtiment < 20 ans ;Socio-culturel 
3505506;35055;35135;Chantepie;Maison des associations;4 Rue de la Chalotais;48.08561866149388; -1.6230736037676177;674;Bâtiment à rénover ;Socio-culturel 
3505509;35055;35135;Chantepie;Mairie & bureaux annexes;44 Av. André Bonnin;48.08846488027642; -1.620333858650689;1580;Bâtiment rénové;Administratif 
3505510;35055;35135;Chantepie; Complexe 2 ruisseaux 2021;19 Av. des 2 Ruisseaux;48.08704685879649; -1.6217546622575605;2823;Bâtiment à rénover ;Sportif 
3505511;35055;35135;Chantepie;Atrium & Kiosque 2021;Av. des Meliettes;48.08604400741377; -1.6217850136686707;1340;Bâtiment à rénover ;Socio-culturel 
3505512;35055;35135;Chantepie; vestiaires foot;All. du Stade;48.09208860162958; -1.6199689610122694;335;Bâtiment à rénover ;Sportif 
3505513;35055;35135;Chantepie; R. Allain;All. du Stade;48.09228491941641; -1.6203226183247739;1989;Bâtiment à rénover ;Sportif 
3505514;35055;35135;Chantepie; Salle Coubertin;All. du Stade;48.093151374719795; -1.6210738831038811;3056;Bâtiment à rénover ;Sportif 
3506601;35066;35131;Chartres-de-Bretagne;EHPAD;19 RUE DE LA POTERIE;48.04262090980224; -1.7088613557999015;4200;Bâtiment à rénover ;Médico-social 
3506602;35066;35131;Chartres-de-Bretagne;Centre culturel;1 RUE DE LA CONTERIE;48.041715395183665; -1.6956829551898247;4260;Bâtiment rénové;Socio-culturel 
3506603;35066;35131;Chartres-de-Bretagne;Halle de la Conterie;5  RUE LEO LAGRANGE;48.03934647411335; -1.6913717314845396;1570;Bâtiment < 20 ans ;Socio-culturel 
3506604;35066;35131;Chartres-de-Bretagne;Mairie;ESPLANADE DES DROITS DE L HOMME;48.040963608735375; -1.7071147701377107;1580;Bâtiment à rénover ;Administratif 
3506605;35066;35131;Chartres-de-Bretagne;Restaurant de l'Auditoire;PLACE DE L AUDITOIRE;48.04260666517549; -1.7026584133163276;910;Bâtiment à rénover ;Restauration 
3506606;35066;35131;Chartres-de-Bretagne;Halle des sports;22 RUE DE LA FORGE;48.04295767361927; -1.6980159571027715;2150;Bâtiment rénové;Sportif 
3506607;35066;35131;Chartres-de-Bretagne;Complexe sportif;12 RUE LA CROIX AUX POTIERS;48.046537499663096; -1.7063607964450052;4800;Bâtiment rénové;Sportif 
3506608;35066;35131;Chartres-de-Bretagne;GS Brocéliande;AVENUE DE BROCELIANDE;48.036261342696946; -1.7027548805764194;2300;Bâtiment à rénover ;Scolaire - enfance 
3506609;35066;35131;Chartres-de-Bretagne;Maison des association;14 RUE DE LA CROIX AUX POTIERS;48.046711944900906; -1.7082347289966655;580;Bâtiment < 20 ans ;Socio-culturel 
3506610;35066;35131;Chartres-de-Bretagne;GS Auditoire - bât A;4 RUE ANTOINE CHATEL;48.041309585596075; -1.7017152840703071;530;Bâtiment rénové;Scolaire - enfance 
3506611;35066;35131;Chartres-de-Bretagne;GS Auditoire - bât B C & D;RUE ANTOINE CHATEL;48.04096664225278; -1.701653236093328;2260;Bâtiment rénové;Scolaire - enfance 
3506612;35066;35131;Chartres-de-Bretagne;GS Auditoire - RASED;RUE ANTOINE CHATEL;48.041489353367965; -1.701587051584435;320;Bâtiment à rénover ;Scolaire - enfance 
3506613;35066;35131;Chartres-de-Bretagne;Espace brocéliande;11 AVENUE DE BROCELIANDE;48.03667945048663; -1.7004997794049754;2250;Bâtiment à rénover ;Socio-culturel 
3506614;35066;35131;Chartres-de-Bretagne;Centre technique;2 ALLEE VINCENT VAN GOGH;48.03430815566551; -1.7023675922293175;1550;Bâtiment à rénover ;Technique
3506615;35066;35131;Chartres-de-Bretagne;Centre Jean Jaures;37 RUE DE LA POTERIE - CMS;48.04245635326846; -1.7059493093231288;1450;Bâtiment à rénover ;Administratif 
3506616;35066;35131;Chartres-de-Bretagne;Centre de loisirs;LA LONGUE HAIE;48.03886297122491; -1.6954027045865838;330;Bâtiment à rénover ;Scolaire - enfance 
3506617;35066;35131;Chartres-de-Bretagne;Ferme des peupliers;4 RUE JEAN-MARIE ECORCHARD;48.02836123967027; -1.7060430866569696;322;Bâtiment à rénover ;Socio-culturel 
3506618;35066;35131;Chartres-de-Bretagne;Epicerie sociale - boulodrome;AVENUE CONSTANT MEREL;48.03613169593084; -1.7074424132587847;900;Bâtiment à rénover ;Sportif 
3506619;35066;35131;Chartres-de-Bretagne;Serres municipales;LE CHAMP ROND;48.04290868590555; -1.692624878792202;400;Bâtiment à rénover ;Technique
3506620;35066;35131;Chartres-de-Bretagne;Pôle solidarité;RUE DE SAINT-ANTHEME;48.04075213603002; -1.707383990458292;150;Bâtiment < 20 ans ;Administratif 
3506621;35066;35131;Chartres-de-Bretagne;Salle de tennis;ALLEE DES TENNIS;48.045433836134976; -1.703975770868815;1500;Bâtiment à rénover ;Sportif 
3511001;35110;35110;FEINS;ECOLE + Atelier technique;21 RUE DES ECOLES;48.32896355636475; -1.6381140980621716;682;Bâtiment rénové;Scolaire – enfance 
3511002;35110;35110;FEINS;RESTAURANT SCOLAIRE;12 RUE ROME DE LAVENE;48.32940227019779; -1.6383450266821569;288;Bâtiment < 20 ans ;Restauration 
3511003;35110;35110;FEINS;GARDERIE;21 RUE DES ECOLES;48.328991883794316; -1.638744711031633;156;Bâtiment < 20 ans ;Scolaire – enfance 
3511004;35110;35110;FEINS;MAIRIE;2 RUE DES ECOLES;48.32833239383752; -1.6403275931271848;420;Bâtiment à rénover ;Administratif 
3511005;35110;35110;FEINS;SALLE DES FETES;2 RUE DE DINGE;48.32936658471135; -1.6419513180341414;290;Bâtiment à rénover ;Socio-culturel 
3511801;35118;35490;GAHARD;SALLE POLYVALENTE EMERAUDE & SALLE DE SPORT;1B RUE ANNE DE BRETAGNE;48.29933239771248; -1.5206573122822025;2233;Bâtiment à rénover ;Socio-culturel 
3511802;35118;35490;GAHARD;GROUPE SCOLAIRE;21 RUE JEAN MORIN;48.29959652331137; -1.521642011580651;790;Bâtiment à rénover ;Scolaire – enfance 
3511803;35118;35490;GAHARD;MAIRIE;5 PLACE DE LA MAIRIE;48.29746117144778; -1.5187007425663273;500;Bâtiment à rénover ;Administratif 
3511804;35118;35490;GAHARD;SALLES ASSOCIATIVES;36 RUE JEAN MORIN;48.29928783826755; -1.5221891822610865;266;Bâtiment à rénover ;Socio-culturel 
3511805;35118;35490;GAHARD;ATELIER ET BIBLIOTHEQUE;5 RUE DE LA GUERCHE;48.2972739257481; -1.52048071216655;642;Bâtiment à rénover ;Socio-culturel 
3512101;35121;35140;GOSNE;GROUPE SCOLAIRE NOMINOE;2 RUE BUISSONIERE;48.247429945235574; -1.4635630422771695;1419;Bâtiment < 20 ans ;Scolaire – enfance 
3512102;35121;35140;GOSNE;SALLE OMNISPORTS;1 RUE DU STADE;48.24813853208379; -1.4576675362660352;1476;Bâtiment < 20 ans ;Sportif 
