ID_BAT;CODE_INSEE;NOM_COM;NOM_EPCI;NOM_BATI;ADRESSE;Longitude;Latitude;SURFACE;RENOVATION;TYPE;ANNEE;Consommation en Electricité;Consommation en gaz naturel;Consommation en gaz citerne;Consommation en fioul;Consommation en chaleur;Consommation en bois;Consommation en ENR;Dépense en Electricité;Dépense en gaz naturel;Dépense en gaz citerne;Dépense en fioul;Dépense en chaleur;Dépense en bois;Dépense en ENR
3501502;35015;Saint-Sulpice-la-Forêt;RM;Groupe scolaire;5 Rte de Saint-Denis; -1.5783204066516867;48.217480218954286;1252;Bâtiment à rénover ;Scolaire – enfance ;2011;153019;0;0;0;0;0;0;16322,62;0;0;0;0;0;0
3501502;35015;Saint-Sulpice-la-Forêt;RM;Groupe scolaire;5 Rte de Saint-Denis; -1.5783204066516867;48.217480218954286;1252;Bâtiment à rénover ;Scolaire – enfance ;2012;139117;0;0;0;0;0;0;19200,13;0;0;0;0;0;0
3501502;35015;Saint-Sulpice-la-Forêt;RM;Groupe scolaire;5 Rte de Saint-Denis; -1.5783204066516867;48.217480218954286;1252;Bâtiment à rénover ;Scolaire – enfance ;2013;163408;0;0;0;0;0;0;22616,04;0;0;0;0;0;0
3501502;35015;Saint-Sulpice-la-Forêt;RM;Groupe scolaire;5 Rte de Saint-Denis; -1.5783204066516867;48.217480218954286;1252;Bâtiment à rénover ;Scolaire – enfance ;2014;125172;0;0;0;0;0;0;18289,22;0;0;0;0;0;0
3501502;35015;Saint-Sulpice-la-Forêt;RM;Groupe scolaire;5 Rte de Saint-Denis; -1.5783204066516867;48.217480218954286;1252;Bâtiment à rénover ;Scolaire – enfance ;2015;152496;0;0;0;0;0;0;22968,35;0;0;0;0;0;0
3501502;35015;Saint-Sulpice-la-Forêt;RM;Groupe scolaire;5 Rte de Saint-Denis; -1.5783204066516867;48.217480218954286;1252;Bâtiment à rénover ;Scolaire – enfance ;2016;165430;0;0;0;0;0;0;23483,41;0;0;0;0;0;0
3501502;35015;Saint-Sulpice-la-Forêt;RM;Groupe scolaire;5 Rte de Saint-Denis; -1.5783204066516867;48.217480218954286;1252;Bâtiment à rénover ;Scolaire – enfance ;2017;121963;0;0;0;0;0;0;19172,84;0;0;0;0;0;0
3501502;35015;Saint-Sulpice-la-Forêt;RM;Groupe scolaire;5 Rte de Saint-Denis; -1.5783204066516867;48.217480218954286;1252;Bâtiment à rénover ;Scolaire – enfance ;2018;115803;0;0;0;0;0;0;17973,7;0;0;0;0;0;0
3501502;35015;Saint-Sulpice-la-Forêt;RM;Groupe scolaire;5 Rte de Saint-Denis; -1.5783204066516867;48.217480218954286;1252;Bâtiment à rénover ;Scolaire – enfance ;2019;105246;0;0;0;0;0;0;16855,46264;0;0;0;0;0;0
3501502;35015;Saint-Sulpice-la-Forêt;RM;Groupe scolaire;5 Rte de Saint-Denis; -1.5783204066516867;48.217480218954286;1252;Bâtiment à rénover ;Scolaire – enfance ;2020;84049;0;0;0;0;0;0;15380,967;0;0;0;0;0;0
3501502;35015;Saint-Sulpice-la-Forêt;RM;Groupe scolaire;5 Rte de Saint-Denis; -1.5783204066516867;48.217480218954286;1252;Bâtiment à rénover ;Scolaire – enfance ;2021;127567;0;0;0;0;0;0;23874,16405;0;0;0;0;0;0
3501503;35015;Saint-Sulpice-la-Forêt;RM;Salle polyvalente;Place renee-mathieu cuisnier; -1.580506364533533;48.217698850641575;469;Bâtiment à rénover ;Socio-culturel ;2006;67495;0;8887,5;0;0;0;0;8125,86;0;1003,1;0;0;0;0
3501503;35015;Saint-Sulpice-la-Forêt;RM;Salle polyvalente;Place renee-mathieu cuisnier; -1.580506364533533;48.217698850641575;469;Bâtiment à rénover ;Socio-culturel ;2007;61115;0;6812,5;0;0;0;0;7413,81;0;801,49;0;0;0;0
3501503;35015;Saint-Sulpice-la-Forêt;RM;Salle polyvalente;Place renee-mathieu cuisnier; -1.580506364533533;48.217698850641575;469;Bâtiment à rénover ;Socio-culturel ;2008;49335;0;7962,5;0;0;0;0;6208,24;0;1087,63;0;0;0;0
3501503;35015;Saint-Sulpice-la-Forêt;RM;Salle polyvalente;Place renee-mathieu cuisnier; -1.580506364533533;48.217698850641575;469;Bâtiment à rénover ;Socio-culturel ;2009;65044;0;9337,5;0;0;0;0;7892,19;0;1141,44;0;0;0;0
3501503;35015;Saint-Sulpice-la-Forêt;RM;Salle polyvalente;Place renee-mathieu cuisnier; -1.580506364533533;48.217698850641575;469;Bâtiment à rénover ;Socio-culturel ;2010;57407;0;6525;0;0;0;0;7835,87;0;834,08;0;0;0;0
3501503;35015;Saint-Sulpice-la-Forêt;RM;Salle polyvalente;Place renee-mathieu cuisnier; -1.580506364533533;48.217698850641575;469;Bâtiment à rénover ;Socio-culturel ;2011;51812;0;7937,5;0;0;0;0;7632,74;0;1136,15;0;0;0;0
3501503;35015;Saint-Sulpice-la-Forêt;RM;Salle polyvalente;Place renee-mathieu cuisnier; -1.580506364533533;48.217698850641575;469;Bâtiment à rénover ;Socio-culturel ;2012;44986;0;8750;0;0;0;0;6530,61;0;1276,73;0;0;0;0
3501503;35015;Saint-Sulpice-la-Forêt;RM;Salle polyvalente;Place renee-mathieu cuisnier; -1.580506364533533;48.217698850641575;469;Bâtiment à rénover ;Socio-culturel ;2013;48403;0;8575;0;0;0;0;7982,93;0;1275,81;0;0;0;0
3501503;35015;Saint-Sulpice-la-Forêt;RM;Salle polyvalente;Place renee-mathieu cuisnier; -1.580506364533533;48.217698850641575;469;Bâtiment à rénover ;Socio-culturel ;2014;42193;0;10025;0;0;0;0;7976,29;0;1433,95;0;0;0;0
